# classificationAttributeAssignment,product,qualifier,unit,valueType,value
fabricapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.fabricapparel,,1,"string,Fabric"
ageband:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.ageband,,4,"enum,pcmClassification,1,22to35"
womenbottomwearfit:pcmClassification:1:pcmClassification:1:womenbottomwearfitCC:pcmClassification:1,MP000000000101827,pcmClassification/1/womenbottomwearfitCC.womenbottomwearfit,,4,"enum,pcmClassification,1,comfortfit"
colorapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.colorapparel,,1,"string,Blue"
featureapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.featureapparel,,1,"string,Feature"
occasion:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.occasion,,4,"enum,pcmClassification,1,workwear"
sizechart:pcmClassification:1:pcmClassification:1:sizechartCC:pcmClassification:1,MP000000000101827,pcmClassification/1/sizechartCC.sizechart,,1,"string,PRETTYSEC_WOM_SHORTLEG"
womencasualbottomwearjeanslowersize:pcmClassification:1:pcmClassification:1:womencasualbottomwearjeanslowersizeCC:pcmClassification:1,MP000000000101827,pcmClassification/1/womencasualbottomwearjeanslowersizeCC.womencasualbottomwearjeanslowersize,,4,"enum,pcmClassification,1,m"
denimtreatments:pcmClassification:1:pcmClassification:1:denimtreatmentsCC:pcmClassification:1,MP000000000101827,pcmClassification/1/denimtreatmentsCC.denimtreatments,,4,"enum,pcmClassification,1,applique"
waistrise:pcmClassification:1:pcmClassification:1:waistriseCC:pcmClassification:1,MP000000000101827,pcmClassification/1/waistriseCC.waistrise,,4,"enum,pcmClassification,1,midrise"
womenfabric:pcmClassification:1:pcmClassification:1:womenfabricCC:pcmClassification:1,MP000000000101827,pcmClassification/1/womenfabricCC.womenfabric,,4,"enum,pcmClassification,1,acrylic"
multipack:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.multipack,,4,"enum,pcmClassification,1,no"
weightapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.weightapparel,,1,"string,50g"
modelfit:pcmClassification:1:pcmClassification:1:modelfitCC:pcmClassification:1,MP000000000101827,pcmClassification/1/modelfitCC.modelfit,,1,"string,Model fit"
storyname:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.storyname,,1,"string,Only Story"
washcare:pcmClassification:1:pcmClassification:1:washcareCC:pcmClassification:1,MP000000000101827,pcmClassification/1/washcareCC.washcare,,1,"string,Machine Wash"
colorfamilyapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.colorfamilyapparel,,4,"enum,pcmClassification,1,blue"
packquantity:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.packquantity,,1,"string,1"
stylenote:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000101827,pcmClassification/1/apparelCC.stylenote,,1,"string,Stylishas12"
straptypefashiona:pcmClassification:1:pcmClassification:1:10003:pcmClassification:1,MP000000000128166,pcmClassification/1/10003.straptypefashiona,,4,"enum,pcmClassification,1,convertible"
genderfashiona:pcmClassification:1:pcmClassification:1:10014:pcmClassification:1,MP000000000128166,pcmClassification/1/10014.genderfashiona,,4,"enum,pcmClassification,1,men"
patternfashiona:pcmClassification:1:pcmClassification:1:10015:pcmClassification:1,MP000000000128166,pcmClassification/1/10015.patternfashiona,,4,"enum,pcmClassification,1,solid"
stylecodefashiona:pcmClassification:1:pcmClassification:1:10001:pcmClassification:1,MP000000000128166,pcmClassification/1/10001.stylecodefashiona,,1,"string,zxcvb5"
bagtypefashiona:pcmClassification:1:pcmClassification:1:10003:pcmClassification:1,MP000000000128166,pcmClassification/1/10003.bagtypefashiona,,4,"enum,pcmClassification,1,satchel"
sizefashiona:pcmClassification:1:pcmClassification:1:10003:pcmClassification:1,MP000000000128166,pcmClassification/1/10003.sizefashiona,,4,"enum,pcmClassification,1,extralarge"
occasionfashiona:pcmClassification:1:pcmClassification:1:10002:pcmClassification:1,MP000000000128166,pcmClassification/1/10002.occasionfashiona,,4,"enum,pcmClassification,1,formal"
materialtypefashiona:pcmClassification:1:pcmClassification:1:10001:pcmClassification:1,MP000000000128166,pcmClassification/1/10001.materialtypefashiona,,4,"enum,pcmClassification,1,leather"
colorfamilyfashiona:pcmClassification:1:pcmClassification:1:10001:pcmClassification:1,MP000000000128166,pcmClassification/1/10001.colorfamilyfashiona,,4,"enum,pcmClassification,1,brown"
multipackfashiona:pcmClassification:1:pcmClassification:1:10001:pcmClassification:1,MP000000000128166,pcmClassification/1/10001.multipackfashiona,,4,"enum,pcmClassification,1,no"
materialtypefashiona:pcmClassification:1:pcmClassification:1:10001:pcmClassification:1,MP000000000128167,pcmClassification/1/10001.materialtypefashiona,,4,"enum,pcmClassification,1,leather"
colorfamilyfashiona:pcmClassification:1:pcmClassification:1:10001:pcmClassification:1,MP000000000128167,pcmClassification/1/10001.colorfamilyfashiona,,4,"enum,pcmClassification,1,brown"
multipackfashiona:pcmClassification:1:pcmClassification:1:10001:pcmClassification:1,MP000000000128167,pcmClassification/1/10001.multipackfashiona,,4,"enum,pcmClassification,1,no"
sizefashiona:pcmClassification:1:pcmClassification:1:10003:pcmClassification:1,MP000000000128167,pcmClassification/1/10003.sizefashiona,,4,"enum,pcmClassification,1,extralarge"
occasionfashiona:pcmClassification:1:pcmClassification:1:10002:pcmClassification:1,MP000000000128167,pcmClassification/1/10002.occasionfashiona,,4,"enum,pcmClassification,1,formal"
straptypefashiona:pcmClassification:1:pcmClassification:1:10003:pcmClassification:1,MP000000000128167,pcmClassification/1/10003.straptypefashiona,,4,"enum,pcmClassification,1,convertible"
genderfashiona:pcmClassification:1:pcmClassification:1:10014:pcmClassification:1,MP000000000128167,pcmClassification/1/10014.genderfashiona,,4,"enum,pcmClassification,1,men"
patternfashiona:pcmClassification:1:pcmClassification:1:10015:pcmClassification:1,MP000000000128167,pcmClassification/1/10015.patternfashiona,,4,"enum,pcmClassification,1,solid"
stylecodefashiona:pcmClassification:1:pcmClassification:1:10001:pcmClassification:1,MP000000000128167,pcmClassification/1/10001.stylecodefashiona,,1,"string,zxcvb5"
bagtypefashiona:pcmClassification:1:pcmClassification:1:10003:pcmClassification:1,MP000000000128167,pcmClassification/1/10003.bagtypefashiona,,4,"enum,pcmClassification,1,satchel"
packcolor:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.packcolor,,4,"enum,pcmClassification,1,brown"
packquantity:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.packquantity,,1,"string,1"
colorfamilyapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.colorfamilyapparel,,4,"enum,pcmClassification,1,blue"
displayproduct:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.displayproduct,,1,"string,Forever New Women Casual Jeans"
colorapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.colorapparel,,1,"string,Blue"
washcare:pcmClassification:1:pcmClassification:1:washcareCC:pcmClassification:1,MP000000000128233,pcmClassification/1/washcareCC.washcare,,1,"string,Machine Wash"
womenfabric:pcmClassification:1:pcmClassification:1:womenfabricCC:pcmClassification:1,MP000000000128233,pcmClassification/1/womenfabricCC.womenfabric,,4,"enum,pcmClassification,1,acrylic"
occasion:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.occasion,,4,"enum,pcmClassification,1,workwear"
modelfit:pcmClassification:1:pcmClassification:1:modelfitCC:pcmClassification:1,MP000000000128233,pcmClassification/1/modelfitCC.modelfit,,1,"string,Model fit"
denimtreatments:pcmClassification:1:pcmClassification:1:denimtreatmentsCC:pcmClassification:1,MP000000000128233,pcmClassification/1/denimtreatmentsCC.denimtreatments,,4,"enum,pcmClassification,1,applique"
weightapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.weightapparel,,1,"string,50g"
womenbottomwearfit:pcmClassification:1:pcmClassification:1:womenbottomwearfitCC:pcmClassification:1,MP000000000128233,pcmClassification/1/womenbottomwearfitCC.womenbottomwearfit,,4,"enum,pcmClassification,1,comfortfit"
featureapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.featureapparel,,1,"string,Feature"
